"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"271","awendo lamba, 042, Nairobi","231","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1858,960,3593
"271","awendo lamba, 042, Nairobi","232","Imani Project","1/10/2017 - 1/12/2017, Every day, Daily Average",2171,1294,3641
"271","awendo lamba, 042, Nairobi","233","Kerarapon Drive","1/10/2017 - 1/12/2017, Every day, Daily Average",2322,1500,3593
"271","awendo lamba, 042, Nairobi","234","Lower Kabete","1/10/2017 - 1/12/2017, Every day, Daily Average",1774,1297,2424
"271","awendo lamba, 042, Nairobi","235","A2","1/10/2017 - 1/12/2017, Every day, Daily Average",2331,1637,3317
"271","awendo lamba, 042, Nairobi","237","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1839,1227,2754
"271","awendo lamba, 042, Nairobi","238","School Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3355,2206,5100
"271","awendo lamba, 042, Nairobi","239","Northern Bypass Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1921,1249,2954
"271","awendo lamba, 042, Nairobi","240","Karen Ln","1/10/2017 - 1/12/2017, Every day, Daily Average",2336,1494,3651
"271","awendo lamba, 042, Nairobi","241","Riara Prestige Apartments","1/10/2017 - 1/12/2017, Every day, Daily Average",1220,735,2023
"271","awendo lamba, 042, Nairobi","242","200 Kyuna Cres","1/10/2017 - 1/12/2017, Every day, Daily Average",847,481,1488
"271","awendo lamba, 042, Nairobi","243","E Africa Motorsports Tracks","1/10/2017 - 1/12/2017, Every day, Daily Average",1649,950,2859
"271","awendo lamba, 042, Nairobi","244","Wangapala Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",943,565,1571
"271","awendo lamba, 042, Nairobi","245","Ole Shapara Ave","1/10/2017 - 1/12/2017, Every day, Daily Average",837,413,1693
"271","awendo lamba, 042, Nairobi","246","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1242,716,2152
"271","awendo lamba, 042, Nairobi","247","Kabiria Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1902,1302,2777
"271","awendo lamba, 042, Nairobi","248","Pilipili Way","1/10/2017 - 1/12/2017, Every day, Daily Average",683,385,1208
"271","awendo lamba, 042, Nairobi","249","Mombasa Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2187,1457,3281
"271","awendo lamba, 042, Nairobi","251","Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2212,1532,3193
"271","awendo lamba, 042, Nairobi","252","Ol Leleshwa Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1974,1185,3287
"271","awendo lamba, 042, Nairobi","253","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2590,1932,3471
"271","awendo lamba, 042, Nairobi","254","Banjui House","1/10/2017 - 1/12/2017, Every day, Daily Average",2381,1369,4139
"271","awendo lamba, 042, Nairobi","255","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2708,1966,3728
"271","awendo lamba, 042, Nairobi","256","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",613,329,1141
"271","awendo lamba, 042, Nairobi","257","Mukunga","1/10/2017 - 1/12/2017, Every day, Daily Average",928,511,1683
"271","awendo lamba, 042, Nairobi","258","0 Muthithi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",326,139,760
"271","awendo lamba, 042, Nairobi","259","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2957,1837,4758
"271","awendo lamba, 042, Nairobi","262","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2968,1962,4487
"271","awendo lamba, 042, Nairobi","263","Nairobi - Namanga","1/10/2017 - 1/12/2017, Every day, Daily Average",2322,1579,3413
"271","awendo lamba, 042, Nairobi","264","Gigiri Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1247,806,1928
"271","awendo lamba, 042, Nairobi","266","Kandara Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",705,394,1261
"271","awendo lamba, 042, Nairobi","268","Church Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3015,1946,4669
"271","awendo lamba, 042, Nairobi","269","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1891,1179,3030
"271","awendo lamba, 042, Nairobi","271","GTZ Processional Way","1/10/2017 - 1/12/2017, Every day, Daily Average",503,130,1939
"271","awendo lamba, 042, Nairobi","272","Miotoni Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2054,1243,3391
"271","awendo lamba, 042, Nairobi","273","Thigiri Cl","1/10/2017 - 1/12/2017, Every day, Daily Average",1459,902,2357
"271","awendo lamba, 042, Nairobi","275","Kikenni Ln","1/10/2017 - 1/12/2017, Every day, Daily Average",2157,1494,3114
"271","awendo lamba, 042, Nairobi","276","Garden Estate Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1038,615,1750
"271","awendo lamba, 042, Nairobi","277","Johari Ave","1/10/2017 - 1/12/2017, Every day, Daily Average",2115,1259,3550
"271","awendo lamba, 042, Nairobi","278","Farasi Lane","1/10/2017 - 1/12/2017, Every day, Daily Average",1399,949,2061
"271","awendo lamba, 042, Nairobi","279","Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1385,827,2317
"271","awendo lamba, 042, Nairobi","280","Ronix Gas Supplies","1/10/2017 - 1/12/2017, Every day, Daily Average",2002,1176,3406
"271","awendo lamba, 042, Nairobi","281","Gatundu Cres","1/10/2017 - 1/12/2017, Every day, Daily Average",891,514,1542
"271","awendo lamba, 042, Nairobi","282","0 Muthaiga Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",844,493,1441
"271","awendo lamba, 042, Nairobi","283","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2597,1735,3885
"271","awendo lamba, 042, Nairobi","284","Foot Path","1/10/2017 - 1/12/2017, Every day, Daily Average",1807,1262,2587
